label,group,year,Georgia,Armenia
Georgian,Business,2019,98,75
Ukrainian,Business,2019,84,72
Russian,Business,2019,78,87
Italian,Business,2019,78,78
American,Business,2019,78,79
Armenian ,Business,2019,65,96
Azerbaijani,Business,2019,73,14
Jew,Business,2019,71,62
Turk,Business,2019,64,26
Kurd,Business,2019,60,62
Indian,Business,2019,57,64
Arab,Business,2019,57,59
Iranian,Business,2019,57,64
Georgian,Marriage,2019,91,34
Ukrainian,Marriage,2019,54,34
Russian,Marriage,2019,49,45
Italian,Marriage,2019,47,41
American,Marriage,2019,45,40
Armenian ,Marriage,2019,37,98
Azerbaijani,Marriage,2019,37,4
Jew,Marriage,2019,36,23
Turk,Marriage,2019,30,5
Kurd,Marriage,2019,26,14
Indian,Marriage,2019,26,18
Arab,Marriage,2019,26,13
Iranian,Marriage,2019,25,14
Georgian,Business,2009,98,66
Ukrainian,Business,2009,84,81
Russian,Business,2009,81,93
Italian,Business,2009,89,81
American,Business,2009,89,84
Armenian ,Business,2009,80,92
Azerbaijani,Business,2009,83,35
Jew,Business,2009,84,70
Turk,Business,2009,80,42
Kurd,Business,2009,75,57
Indian,Business,2009,65,68
Arab,Business,2009,54,59
Iranian,Business,2009,67,62
Georgian,Marriage,2009,91,33
Ukrainian,Marriage,2009,47,40
Russian,Marriage,2009,42,54
Italian,Marriage,2009,46,44
American,Marriage,2009,43,45
Armenian ,Marriage,2009,34,98
Azerbaijani,Marriage,2009,25,8
Jew,Marriage,2009,32,36
Turk,Marriage,2009,19,9
Kurd,Marriage,2009,19,18
Indian,Marriage,2009,19,23
Arab,Marriage,2009,27,15
Iranian,Marriage,2009,20,13
