label,group,year,Georgia,Armenia
Грузины,Business,2019,98,75
Украинцы,Business,2019,84,72
Русские,Business,2019,78,87
Итальянцы,Business,2019,78,78
Американцы,Business,2019,78,79
Армяне,Business,2019,65,96
Азербайджанцы,Business,2019,73,14
Евреи,Business,2019,71,62
Турки,Business,2019,64,26
Курды,Business,2019,60,62
Индийцы,Business,2019,57,64
Арабы,Business,2019,57,59
Иранцы,Business,2019,57,64
Грузины,Marriage,2019,91,34
Украинцы,Marriage,2019,54,34
Русские,Marriage,2019,49,45
Итальянцы,Marriage,2019,47,41
Американцы,Marriage,2019,45,40
Армяне,Marriage,2019,37,98
Азербайджанцы,Marriage,2019,37,4
Евреи,Marriage,2019,36,23
Турки,Marriage,2019,30,5
Курды,Marriage,2019,26,14
Индийцы,Marriage,2019,26,18
Арабы,Marriage,2019,26,13
Иранцы,Marriage,2019,25,14
Грузины,Business,2009,98,66
Украинцы,Business,2009,84,81
Русские,Business,2009,81,93
Итальянцы,Business,2009,89,81
Американцы,Business,2009,89,84
Армяне,Business,2009,80,92
Азербайджанцы,Business,2009,83,35
Евреи,Business,2009,84,70
Турки,Business,2009,80,42
Курды,Business,2009,75,57
Индийцы,Business,2009,65,68
Арабы,Business,2009,54,59
Иранцы,Business,2009,67,62
Грузины,Marriage,2009,91,33
Украинцы,Marriage,2009,47,40
Русские,Marriage,2009,42,54
Итальянцы,Marriage,2009,46,44
Американцы,Marriage,2009,43,45
Армяне,Marriage,2009,34,98
Азербайджанцы,Marriage,2009,25,8
Евреи,Marriage,2009,32,36
Турки,Marriage,2009,19,9
Курды,Marriage,2009,19,18
Индийцы,Marriage,2009,19,23
Арабы,Marriage,2009,27,15
Иранцы,Marriage,2009,20,13
