facet,x1,x2,y,err
Индекс владения предметами домашнего обихода,Возник естественным образом,0,0.1328187,0.0992927
Индекс владения предметами домашнего обихода,Возник естественным образом,1,0.1397206,0.0886713
Индекс владения предметами домашнего обихода,Возник естественным образом,2,0.1460077,0.07691695
Индекс владения предметами домашнего обихода,Возник естественным образом,3,0.1515707,0.06435615
Индекс владения предметами домашнего обихода,Возник естественным образом,4,0.1563154,0.05152565
Индекс владения предметами домашнего обихода,Возник естественным образом,5,0.1601663,0.03947405
Индекс владения предметами домашнего обихода,Возник естественным образом,6,0.1630693,0.0305768
Индекс владения предметами домашнего обихода,Возник естественным образом,7,0.1649928,0.0290745
Индекс владения предметами домашнего обихода,Возник естественным образом,8,0.1659279,0.0363915
Индекс владения предметами домашнего обихода,Возник естественным образом,9,0.1658874,0.04879635
Индекс владения предметами домашнего обихода,Возник естественным образом,10,0.1649045,0.0632395
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,0,0.5595897,0.1754262
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,1,0.5514269,0.1471122
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,2,0.5397816,0.12126855
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,3,0.5248771,0.09740845
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,4,0.5070099,0.0753893
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,5,0.4865377,0.05594195
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,6,0.4638658,0.0419063
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,7,0.4394301,0.03906685
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,8,0.413681,0.04882035
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,9,0.3870671,0.06493835
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили намеренно,10,0.3600205,0.08274895
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,0,0.1601293,0.0940262
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,1,0.183165,0.08958355
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,2,0.2080801,0.0826436
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,3,0.234773,0.0732827
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,4,0.2631009,0.061926
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,5,0.2928825,0.04975295
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,6,0.323903,0.03980385
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,7,0.3559197,0.038215
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,8,0.3886691,0.0486593
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,9,0.4218747,0.0670574
Индекс владения предметами домашнего обихода,Создали в лаборатории и распространили случайно,10,0.455255,0.0890636
Индекс владения предметами домашнего обихода,Не существует,0,0.1474623,0.14851595
Индекс владения предметами домашнего обихода,Не существует,1,0.1256875,0.1125418
Индекс владения предметами домашнего обихода,Не существует,2,0.1061305,0.0821315
Индекс владения предметами домашнего обихода,Не существует,3,0.0887791,0.05739235
Индекс владения предметами домашнего обихода,Не существует,4,0.0735739,0.0383338
Индекс владения предметами домашнего обихода,Не существует,5,0.0604135,0.02504455
Индекс владения предметами домашнего обихода,Не существует,6,0.0491619,0.0177565
Индекс владения предметами домашнего обихода,Не существует,7,0.0396574,0.0157234
Индекс владения предметами домашнего обихода,Не существует,8,0.031722,0.0161827
Индекс владения предметами домашнего обихода,Не существует,9,0.0251708,0.01680815
Индекс владения предметами домашнего обихода,Не существует,10,0.01982,0.0168036
Пол,Возник естественным образом,Мужской,0.1378117,0.03710565
Пол,Возник естественным образом,Женский,0.1845148,0.04215095
Пол,Создали в лаборатории и распространили намеренно,Мужской,0.4995684,0.0595837
Пол,Создали в лаборатории и распространили намеренно,Женский,0.398634,0.05376805
Пол,Создали в лаборатории и распространили случайно,Мужской,0.2772233,0.05044235
Пол,Создали в лаборатории и распространили случайно,Женский,0.3941315,0.0546303
Пол,Не существует,Мужской,0.0853966,0.0374889
Пол,Не существует,Женский,0.0227197,0.01679615
