k,v
Fully trust ,Полностью доверяю
Rather trust,Скорее доверяю
Neither trust nor distrust,Ни доверяю и ни не доверяю
Rather distrust,Скорее не доверяю
Fully distrust,Полностью не доверяю
Refuse to answer,Отказались отвечать
Don't know,Не знаю
Army,Армия
Religious Institutions,Религиозные учреждения
Police,Полиция
Healthcare System,Система здравоохранения
Educational System,Система образования
Ombudsman,Омбудсмен
Local Government,Местные органы власти
Banks,Банки
Executive Government,Исполнительная власть
Ngos,НПО
Media,СМИ
President,Президент
Court System,Судебная система
Parliament ,Парламент
Political Parties,Политические партии
Distrust,Недоверие
Neither trust nor distrust,"Ни доверие, ни недоверие"
Trust,Доверие
Age,Возраст
Minority status,Этническая принадлежность
Georgian,Грузин(ка) 
Non-Georgian,Другая этническая принадлежность
Settlement type,Населённый пункт
Rural,Населённый пункт
Urban,Другие города
Capital,Тбилиси
Internet,Пользование Интернетом
Every day,Каждый день
Less often,Менее часто
Never,Менее часто
Gender,Пол
Female,Женский
Male,Мужской
Education,Образование
cat,cat
type,type
Institution,Institution
