label,group,Very well,Well,Average,Badly,Very badly,Don’t know
Prime Minister,Covid Monitor,24.749,40.538,19.858,6.061,1.751,7.043
Prime Minister,NDI November/December 2019,4.000,17.000,34.000,24.000,10.000,11.000
President,Covid Monitor,4.035,21.048,29.161,14.573,10.145,21.038
President,NDI November/December 2019,1.000,8.000,31.000,34.000,20.000,6.000
Parliament,Covid Monitor,6.003,24.386,34.351,13.574,5.956,15.730
Parliament,NDI November/December 2019,1.000,8.000,27.000,40.000,17.000,6.000
Police,Covid Monitor,17.146,51.548,19.526,3.341,1.124,7.314
Police,NDI November/December 2019,6.000,37.000,35.000,15.000,4.000,3.000
Church,Covid Monitor,23.920,42.284,16.111,5.474,2.006,10.204
Church,NDI November/December 2019,13.000,37.000,25.000,10.000,2.000,12.000
